TaxYear,Type,LB,UB,Rate
2014,Income Tax,0,31865,0.2
2014,Income Tax,31865,150000,0.4
2014,Income Tax,150000,Inf,0.45
2014,NI Class1,0,7956,0
2014,NI Class1,7956,41860,0.12
2014,NI Class1,41860,Inf,0.02
2014,NI Class4,0,7956,0
2014,NI Class4,7956,41860,0.09
2014,NI Class4,41860,Inf,0.02
2015,Income Tax,0,31785,0.2
2015,Income Tax,31785,150000,0.4
2015,Income Tax,150000,Inf,0.45
2015,NI Class1,0,8060,0
2015,NI Class1,8060,42380,0.12
2015,NI Class1,42380,Inf,0.02
2015,NI Class4,0,8060,0
2015,NI Class4,8060,42380,0.09
2015,NI Class4,41860,Inf,0.02
